,0,1,2,3
0,중고폰매입 아이폰매입 아이폰15프로 아이폰14프로맥스 아이폰12프로맥스,555000,AD,인천광역시 부평구 부평1동
1,아이폰매입 아이폰11프로 아이폰12프로 아이폰x 아이폰14 아이폰14프로,970000,AD,인천광역시 부평구 부평1동
2,아이폰14 256G 자급제 미개봉 퍼플,880000,2분 전,서울특별시 양천구 신월1동
3,미키마우스 폰케이스 아이폰14 새상품,7000,6분 전,경상남도 김해시 장유1동
4,[아이폰] 애플 아이폰14 256GB 미개봉 새상품 미개봉,793000,"위메프・
광고",
5,아이폰14프로 아이페이스 리플렉션 케이스,8000,9분 전,경상남도 하동군 옥종면
6,삽니다)아이폰11 아이폰12프로 아이폰13 아이폰14 XS X 매입합니다,740000,AD,대구광역시 중구 성내1동
7,액정/외관깨끗 아이폰14프로 블랙 배터리성능100% 512GB 23052,1100000,10분 전,전국
8,액정/외관깨끗 아이폰14프로 블랙 배터리성능100% 512GB 23052,1100000,12분 전,전국
9,아이폰14 pro max 맥세이프 실리콘 케이스 미개봉,40000,7분 전,전국
10,아이폰14프로 더소프트아이보리 메탈쿠션 케이스,30000,9분 전,경상남도 하동군 옥종면
11,아이폰14시리즈 미개봉새상품 애플케어가능 14플러스/14프로/14프로맥스,90000,AD,전국
12,매입) 아이폰매입 아이폰14프로 아이폰15프로 15프로맥스 14프로맥스,1930000,11분 전,인천광역시 미추홀구 주안1동
13,아이폰14 프로 256 실버 S급 배터리98,980000,11분 전,광주광역시 동구 계림2동
14,구매) 아이폰14프로 아이폰14프로맥스 아이폰14pro 매입 삽니다,2000000,11분 전,인천광역시 연수구 송도1동
15,아이폰 14 프로 핸드폰 케이스 키링 iPhone 14 pro case,6000,19분 전,전국
16,삽니다) 아이폰 파손/폐폰 삽니다 XS 11 11PRO 12 13 14,884000,AD,대구광역시 중구 성내1동
17,아이폰14 프로맥스 128g 블랙 애플케어o 팝니다.,1050000,13분 전,경기도 안산시 단원구 와동
18,아이폰14Pro MAX 256G 블랙 판매합니다,1040000,11분 전,전국
19,Apple 아이폰 14 프로 자급제 128GB 실버 MQ023KH/A,1550000,"롯데ON・
광고",
20,아이폰14-128 미개봉,463000,24분 전,대전광역시 유성구 노은1동
21,[미개봉/새상품]아이폰14시리즈 재고정리 14프로/14프로맥스/14플러스,90000,AD,서울특별시 용산구 용문동
22,"아이폰14 블루 128gb 팔아요 (새폰컨디션, 기스찍힘 없음)",690000,2분 전,전국
23,아이폰14프로맥스 512G+케어플러스포함,1300000,7분 전,서울특별시 광진구 구의제1동
24,아이폰14프로 나리오브제 키링 케이스,8000,9분 전,경상남도 하동군 옥종면
25,아이폰14프로 512G 미개봉+케이스등등포함,1370000,7분 전,서울특별시 광진구 구의제1동
26,아이폰14프로256딥퍼플,900000,AD,경기도 평택시 송북동
27,아이폰14플러스 애플 정품 실리콘케이스 선글로우,25000,5분 전,서울특별시 도봉구 창제5동
28,아이폰 14 plus 정품 가죽케이스 포레스트 그린,15000,24분 전,부산광역시 서구 충무동
29,아이폰14 256g 퍼플 미개봉 새상품 팝니다.,860000,10분 전,서울특별시 강북구 수유제3동
30,배터리98 A+급 아이폰14 128G 옐로우 (071),640000,25분 전,전국
31,불사 매머드케이스 필름 투명 아이폰7/8XSXR112131415SE23,1800,AD,서울특별시 영등포구 문래동
32,플립5랑 아이폰14프로 교신원해요~,680000,30분 전,경상남도 창원시 의창구 팔룡동
33,A급 아이폰14 128G 화이트 (981),610000,35분 전,전국
34,애플 아이폰14프로 대여128GB 자급제폰 무약정 무보증 렌탈,15000,"품렌탈・
광고",
35,아이폰14프로 128 판매합니다,799000,39분 전,전라남도 영광군 영광읍
36,변색없는 크리스탈 하드케이스 투명 아이폰7/8XSXR112131415SE,3900,AD,서울특별시 영등포구 문래동
37,아이폰 14프로맥스 256GB 블랙,1210000,28분 전,전국
38,배터리98 A+급 아이폰14 128G 옐로우 (071),640000,33분 전,전국
39,아이폰14프로 256GB 실버 판매,930000,19분 전,충청남도 아산시 배방읍
40,아이폰 14pro 스페이스 블랙 128GB,950000,25분 전,인천광역시 미추홀구 도화2.3동
41,[LG이동/기변] 아이폰14프로맥스 / 소량입고 / 도매할인 최저가 보장,460000,AD,전국
42,아이폰14프로맥스 512G,1230000,32분 전,전국
43,"아이폰11,12,13,14,15 삽니다(침수폰,파손폰,전원불량 등)",1000000,26분 전,인천광역시 서구 검단4동
44,아이폰 14 프로 14pro 128 골드,950000,36분 전,전국
45,아이폰 14프로 케이스티파이 새상품,65000,34분 전,전국
46,중고폰매입 아이폰매입 아이폰15프로 아이폰14프로맥스 아이폰12프로맥스,555000,AD,인천광역시 부평구 부평1동
47,아이폰14프로맥스 128기가 골드 팝니다,1380000,39분 전,경상남도 양산시 중앙동
48,아이폰14 프로 스페이스 블랙 128GB 자급제,850000,39분 전,경기도 의정부시 자금동
49,Apple 정품 아이폰 14 자급제,943000,광고,
50,[새제품] 아이폰 14프로 케이스 애플 정품,47000,33분 전,서울특별시 영등포구 여의동
51,아이폰매입 아이폰11프로 아이폰12프로 아이폰x 아이폰14 아이폰14프로,970000,AD,인천광역시 부평구 부평1동
52,아이폰14pro 노란꽃 케이스,4000,37분 전,전국
53,배터리98 A+급 아이폰14 128G 옐로우 (071),640000,44분 전,전국
54,[새제품] 아이폰14프로 가죽케이스 미드나이트 새제품,69000,33분 전,서울특별시 영등포구 여의동
55,[새제품] 애플 정품 아이폰 14프로 가죽케이스,63000,33분 전,서울특별시 영등포구 여의동
56,아이폰14프로 256 실버,950000,23분 전,전국
57,케이스티파이 아이폰14pro 케이스,39000,23분 전,경기도 시흥시 신천동
58,아이폰 14프로맥스 자급제 1테라 실버 단순개봉,1380000,39분 전,경기도 고양시 일산서구 탄현동
59,[애플정품] 아이폰 14프로 가죽케이스 정품 색상 잉크,63000,33분 전,서울특별시 영등포구 여의동
60,[애플 정품] 아이폰 14프로 가죽 케이스 새것,63000,33분 전,서울특별시 영등포구 여의동
61,아이폰14 프로맥스 프로 플러스 일반 사생활+고화질 보호필름,12000,35분 전,전국
62,아이폰14프로128팝니다,850000,55분 전,서울특별시 중랑구 상봉제1동
63,아이폰 14 미드나이트 배터리 95%,540000,46분 전,전국
64,Apple 정품 아이폰 14 자급제,937810,광고,
65,아이폰 14 퍼플 256 자급제 (미개봉 새제품),840000,47분 전,경기도 화성시 동탄4동
66,아이폰14 맥세이프 케이스(낱개 구매 가능),9000,47분 전,전국
67,아이폰14프로256딥퍼플,900000,35분 전,경기도 평택시 송북동
68,아이폰 14프로 128G 블랙 배터리 89% 92만원에 팝니다,920000,59분 전,대전광역시 중구 은행선화동
69,아이폰14pro 256gb 블랙 애플케어,950000,53분 전,경기도 화성시 비봉면
70,아이폰 14 교환 교신,250000,56분 전,전국
71,아이폰 14프로 256g,820000,54분 전,충청북도 충주시 대소원면
72,아이폰 14프로 128 화이트,870000,58분 전,전국
73,케이스티파이 아이폰14 프로 에리얼 인어공주,30000,27분 전,서울특별시 관악구 보라매동
74,아이폰14 그라데이션 카드범퍼 케이스,8000,57분 전,부산광역시 부산진구 전포제1동
75,아이폰14 정품 실리콘케이스 프로덕트레드색상,40000,51분 전,서울특별시 은평구 신사제1동
76,중고폰매입 아이폰매입 아이폰15프로 아이폰14프로맥스 아이폰12프로맥스,555000,AD,인천광역시 부평구 부평1동
77,베이시스 아이폰 14 케이스 스트랩,20000,44분 전,전국
78,(새상품)아이폰14 어프어프 하드케이스 알로하 코비 치치,5000,50분 전,전국
79,신지모루 범퍼 강화 4DX 에어팁 젤리 휴대폰 케이스,8730,광고,
80,아이폰14 플러스 정품 가죽케이스 세쿼이아 그린색상,40000,51분 전,서울특별시 은평구 신사제1동
81,아이폰매입 아이폰11프로 아이폰12프로 아이폰x 아이폰14 아이폰14프로,970000,AD,인천광역시 부평구 부평1동
82,디젤 아이폰 14프로 케이스,110000,30분 전,전국
83,새상품) 아이폰 13/14젤리 케이스,5000,34분 전,전국
84,(새싱품) 아이폰14 케이스티파이 디스이즈네버댓 케이스,83000,44분 전,전국
85,단순개봉 아이폰14 플러스 정품 실리콘게이스 초크핑크 팝니다,25000,54분 전,경기도 파주시 운정2동
86,새상품)아이폰케이스 정리13/14/14max,5000,34분 전,전국
87,아이폰14프로 128g아이폰15프로나 프로맥스 교환 추금제시 여의도 직거,8282,32분 전,서울특별시 영등포구 여의동
88,아이폰 14프로 실버 128기가 판매,800000,45분 전,경기도 평택시 안중읍
89,바이마이파이 납작복숭아 폰케이스 아이폰14 폰케이스,10000,44분 전,전국
90,아이폰14프로맥스 실버 256(배터리100찍힘x)+애케플(25.7월)급매,1380000,48분 전,전라남도 순천시 해룡면
91,아이폰14,330000,1시간 전,전국
92,아이폰14 미러 케이스티파이,29000,1시간 전,서울특별시 중랑구 중화제2동
93,아이폰14 메종키츠네 케이스티파이,85000,1시간 전,서울특별시 중랑구 중화제2동
94,아케나 변색방지 아이폰 투명 케이스 4개입,8900,광고,
95,케이스티파이x마뗑킴 아이폰14프로,110000,1시간 전,부산광역시 남구 대연제1동
96,(새제품) 아이폰14프로맥스 맥세이프 케이스,15000,1시간 전,서울특별시 강남구 역삼1동
97,아이폰 14프로맥스 정품 투멍케이스,30000,1시간 전,전국
98,아이폰 14프로맥스 케이스티파이x마하리쉬,50000,1시간 전,전국
99,아이폰14 퍼플 256 배터리89프로,625000,1시간 전,전국
